urn,local_authority,school,postcode,easting,northing,lsoa,type,phase,no2_avg_2013,above_40_2013,no2_avg_2016,above_40_2016
100000,City of London,Sir John Cass's Foundation Primary School,EC3A 5DE,533498,181201,E01032739,Voluntary aided school,Primary,63.1,Yes,57.5,Yes
100001,City of London,City of London School for Girls,EC2Y 8BB,532301,181746,E01000002,Other independent school,Not applicable,44.1,Yes,46,Yes
100002,City of London,St Paul's Cathedral School,EC4M 9AD,532160,181151,E01032739,Other independent school,Not applicable,60.9,Yes,54.8,Yes
100003,City of London,City of London School,EC4V 3AL,531981,180844,E01032739,Other independent school,Not applicable,62.7,Yes,57.4,Yes
100005,Camden,Thomas Coram Centre,WC1N 2NY,530464,182403,E01000937,Local authority nursery school,Nursery,44.7,Yes,46,Yes
100006,Camden,CCfL Key Stage 4 PRU,NW3 2NY,527663,185479,E01000887,Pupil referral unit,Not applicable,45.6,Yes,44.1,Yes
100007,Camden,Camden Primary Pupil Referral Unit,NW1 3EX,529082,182617,E01000945,Pupil referral unit,Not applicable,47.6,Yes,46.4,Yes
100008,Camden,Argyle Primary School,WC1H 9EG,530238,182761,E01000941,Community school,Primary,59.1,Yes,52.2,Yes
100009,Camden,Beckford Primary School,NW6 1QL,524888,185067,E01000873,Community school,Primary,39.6,No,39.9,No
100010,Camden,Brecknock Primary School,NW1 9AL,529912,184835,E01000869,Community school,Primary,44.0,Yes,43.8,Yes
100011,Camden,Brookfield Primary School,N19 5DH,528706,186594,E01000908,Community school,Primary,35.5,No,37.2,No
100012,Camden,Carlton Primary School,NW5 4AX,528386,185209,E01000891,Community school,Primary,38.7,No,39.8,No
100013,Camden,Edith Neville Primary School,NW1 1DN,529725,183195,E01000953,Community school,Primary,41.9,Yes,43.2,Yes
100014,Camden,Fleet Primary School,NW3 2QT,527677,185424,E01000887,Community school,Primary,47.1,Yes,44.9,Yes
100015,Camden,Hawley Primary School,NW1 8RP,528886,184273,E01000856,Community school,Primary,50.7,Yes,47.2,Yes
100018,Camden,Netley Primary School & Centre for Autism,NW1 3EX,529095,182598,E01000945,Community school,Primary,49.2,Yes,47.2,Yes
100019,Camden,New End Primary School,NW3 1HU,526483,185916,E01000895,Community school,Primary,38.9,No,39.8,No
100020,Camden,Primrose Hill School,NW1 8JL,528304,183909,E01000862,Community school,Primary,39.4,No,41.4,Yes
100021,Camden,Rhyl Primary School,NW5 3HB,528334,184823,E01000900,Community school,Primary,42.8,Yes,42.7,Yes
100022,Camden,Richard Cobden Primary School,NW1 0LL,529342,183487,E01000959,Community school,Primary,51.3,Yes,48.8,Yes
100023,Camden,Torriano Primary School,NW5 2SJ,529559,185072,E01000926,Community school,Primary,41.1,Yes,41.8,Yes
100025,Camden,Gospel Oak Primary School,NW3 2JB,528230,185638,E01000886,Community school,Primary,42.0,Yes,41.2,Yes
100026,Camden,Fitzjohn's Primary School,NW3 6NP,526566,185411,E01000897,Community school,Primary,43.3,Yes,42.5,Yes
100027,Camden,Eleanor Palmer Primary School,NW5 2JA,529117,185613,E01000921,Community school,Primary,42.0,Yes,42,Yes
100028,Camden,"Christ Church Primary School, Hampstead",NW3 1JH,526518,186095,E01000899,Voluntary aided school,Primary,38.7,No,39.4,No
100029,Camden,Christ Church School,NW1 4BD,528821,182991,E01000949,Voluntary aided school,Primary,44.7,Yes,44.6,Yes
100030,Camden,Emmanuel Church of England Primary School,NW6 1TF,525336,185264,E01000970,Voluntary aided school,Primary,40.8,Yes,40.8,Yes
100031,Camden,Hampstead Parochial Church of England Primary School,NW3 6TX,526301,185733,E01000879,Voluntary aided school,Primary,41.9,Yes,41.7,Yes
100032,Camden,"Holy Trinity CofE Primary School, NW3",NW3 5SQ,526445,184601,E01000883,Voluntary aided school,Primary,53.2,Yes,47.3,Yes
100033,Camden,"Holy Trinity and Saint Silas CofE Primary School, NW1",NW1 8DE,528675,184432,E01000856,Voluntary aided school,Primary,40.9,Yes,41.4,Yes
100034,Camden,Kentish Town Church of England Primary School,NW5 2TU,529113,185066,E01000921,Voluntary aided school,Primary,45.3,Yes,44.3,Yes
100035,Camden,Rosary Roman Catholic Primary School,NW3 2AE,527199,185281,E01000898,Voluntary aided school,Primary,44.5,Yes,43.2,Yes
100036,Camden,St Alban's Church of England Primary School,EC1N 7SD,531156,181834,E01000917,Voluntary aided school,Primary,51.0,Yes,48.4,Yes
100039,Camden,St Dominic's Catholic Primary School,NW5 4JS,527842,185252,E01000892,Voluntary aided school,Primary,45.9,Yes,44.2,Yes
100040,Camden,St George the Martyr Church of England Primary School,WC1N 2NX,530763,182065,E01000920,Voluntary aided school,Primary,46.8,Yes,46.5,Yes
100041,Camden,St Josephs Catholic Primary School,WC2B 5NA,530415,181368,E01000918,Voluntary aided school,Primary,58.6,Yes,53.9,Yes
100042,Camden,St Mary's Kilburn Church of England Primary School,NW6 4PG,525389,183932,E01000933,Voluntary aided school,Primary,41.8,Yes,41.7,Yes
100043,Camden,St Mary and St Pancras Church of England Primary School,NW1 1QP,529495,183146,E01000954,Voluntary aided school,Primary,44.6,Yes,46.7,Yes
100044,Camden,St Michael's Church of England Primary School,NW1 0JA,529204,183886,E01000861,Voluntary aided school,Primary,47.9,Yes,46.6,Yes
100045,Camden,St Patrick's Catholic Primary School,NW5 3AH,528861,185010,E01000922,Voluntary aided school,Primary,41.6,Yes,41.8,Yes
100046,Camden,St Paul's Church of England Primary School,NW3 3DS,527498,184129,E01000967,Voluntary aided school,Primary,41.3,Yes,42,Yes
100047,Camden,St Eugene de Mazenod Roman Catholic Primary School,NW6 4LS,525360,183998,E01000933,Voluntary aided school,Primary,41.4,Yes,41.5,Yes
100048,Camden,Our Lady Roman Catholic Primary School,NW1 0DP,529268,183862,E01000861,Voluntary aided school,Primary,47.7,Yes,46.6,Yes
100049,Camden,Haverstock School,NW3 2BQ,528159,184498,E01000902,Community school,Secondary,44.9,Yes,44.2,Yes
100050,Camden,Parliament Hill School,NW5 1RL,528369,186019,E01000912,Community school,Secondary,39.8,No,40.5,Yes
